edible,odor,stalk-surface-above-ring
0,n,g
0,n,g
1,p,g
0,l,g
0,n,u
0,n,g
0,a,m
0,n,g
0,n,g
0,n,d
0,a,g
0,n,g
1,p,g
0,n,g
0,n,d
0,n,g
0,n,g
0,l,g
0,n,g
1,p,u
1,p,u
0,l,g
0,n,g
0,n,g
0,n,g
0,l,m
1,p,u
0,n,d
0,l,d
0,l,m
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,g
1,p,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,d
0,n,g
0,l,g
0,n,d
0,l,g
0,n,g
0,n,d
0,l,m
0,n,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,l,g
0,l,m
0,n,g
0,n,g
0,n,u
0,n,g
0,n,g
0,l,m
0,a,d
0,l,m
1,p,u
0,n,d
0,l,g
0,n,g
1,p,g
0,l,g
0,n,g
0,n,g
0,n,g
0,n,g
0,l,g
0,a,m
0,n,g
0,a,p
0,n,g
0,n,g
0,a,d
0,l,g
0,n,d
1,p,g
0,n,d
0,n,g
0,a,m
0,a,g
0,a,m
1,p,u
1,p,g
0,n,u
0,l,d
0,l,m
0,n,g
0,n,d
1,p,g
0,n,g
0,n,g
0,n,g
0,n,g
0,a,m
0,a,d
0,n,u
1,p,u
0,a,p
0,a,p
0,n,g
0,n,d
0,n,g
0,a,g
0,n,g
1,p,u
0,n,d
0,n,g
0,n,d
0,n,d
0,n,g
0,l,p
0,n,g
0,l,g
0,l,d
0,n,g
0,l,g
0,n,g
0,n,g
0,l,d
0,n,g
0,n,g
1,p,u
0,l,d
0,a,g
0,n,g
0,n,d
0,l,g
0,n,g
1,p,g
0,a,g
0,n,d
0,l,p
0,n,g
0,n,u
1,p,g
0,n,g
0,l,p
0,n,g
1,p,u
0,l,m
0,n,g
0,l,g
0,n,g
0,l,m
0,l,m
1,p,g
0,l,g
0,n,u
0,a,g
0,n,g
0,l,d
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
1,p,u
0,n,g
0,l,g
0,n,g
0,n,g
1,p,g
0,a,g
0,n,g
0,l,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,a,d
0,n,g
0,n,g
0,a,g
0,n,g
0,n,g
1,p,u
0,n,g
1,p,g
0,n,g
0,a,g
0,n,g
0,n,d
0,l,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,a,p
1,p,g
0,n,g
1,p,g
0,a,m
0,n,g
0,n,g
0,n,g
0,n,g
0,a,g
0,n,g
0,n,d
0,a,p
0,n,g
0,a,m
1,p,g
0,n,d
0,n,g
0,a,m
0,n,g
0,n,d
0,n,g
0,n,u
0,n,u
0,n,u
0,l,m
0,n,u
0,n,g
0,a,p
0,l,p
0,l,g
0,n,g
0,a,g
0,a,g
0,n,g
0,n,g
1,p,u
0,l,g
0,n,g
0,n,g
0,l,m
0,n,d
0,l,p
0,a,g
1,p,g
0,n,g
0,a,m
0,l,g
0,l,m
0,l,g
0,a,g
0,a,g
0,n,g
1,p,g
0,n,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,a,g
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
0,n,g
0,n,g
0,a,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
1,p,g
0,n,d
0,n,g
1,p,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
1,p,u
0,n,g
1,p,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
1,p,g
1,p,g
0,n,g
1,p,g
0,n,g
0,n,g
1,p,g
1,p,g
1,p,g
1,p,g
0,n,g
0,n,d
0,n,g
0,n,g
1,p,u
0,n,g
0,n,d
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,a,m
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
1,p,u
0,n,g
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
1,p,g
1,p,g
0,n,g
0,n,d
0,n,g
0,a,p
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
1,p,g
0,n,g
0,l,g
0,n,g
0,n,g
0,n,d
0,l,m
0,n,g
0,n,d
1,p,g
0,n,g
1,p,u
0,n,g
0,n,g
0,l,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,d
0,a,g
0,n,g
0,n,g
0,n,g
1,p,u
0,n,d
0,n,g
0,n,g
1,p,g
0,n,g
0,n,d
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,l,g
1,p,g
1,p,g
0,n,g
0,n,g
1,p,g
0,n,g
1,p,u
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
1,p,g
0,n,g
0,a,g
0,n,d
0,n,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,l,m
0,n,g
0,n,g
0,n,g
1,p,u
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,l,p
1,p,u
0,n,g
0,n,d
1,p,g
1,p,u
1,p,u
0,n,d
0,l,m
1,p,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
1,p,u
1,p,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
1,p,u
0,n,g
1,p,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
1,p,u
0,n,d
0,n,g
0,n,g
0,a,d
0,n,g
0,n,d
0,n,d
0,a,d
0,n,g
0,n,g
0,n,d
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,l,g
1,p,u
0,n,g
0,n,g
0,n,g
1,p,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,a,m
0,n,g
0,n,g
0,n,g
0,n,d
1,p,u
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,a,m
0,a,d
0,n,g
0,n,g
0,n,g
0,a,g
0,n,g
0,l,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,a,m
0,n,g
1,p,u
0,n,g
1,p,u
0,n,g
0,n,g
1,p,g
0,n,g
1,p,u
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
1,p,u
0,n,g
0,a,g
0,n,g
0,n,g
0,l,m
0,n,g
0,n,g
0,n,g
1,p,u
0,n,g
0,a,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,l,m
0,n,d
1,p,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,l,g
0,n,g
0,n,g
1,p,g
0,n,g
1,p,g
0,n,g
0,n,d
0,n,g
1,p,u
0,n,g
1,p,u
0,n,d
0,n,g
0,a,p
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,l,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,u
1,p,u
1,p,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
1,p,u
0,n,g
0,n,d
1,p,u
1,p,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
1,p,g
1,p,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,l,m
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,a,g
0,l,g
0,n,g
1,p,g
0,n,g
1,p,u
0,n,d
1,p,u
0,l,g
0,l,m
0,l,p
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,l,g
0,n,g
0,l,m
1,p,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,a,p
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
1,p,g
0,n,d
0,n,g
0,n,g
1,p,u
0,n,g
0,n,d
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,d
0,l,g
0,l,m
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,a,m
1,p,g
0,n,g
0,n,g
0,a,g
0,n,g
0,n,g
1,p,u
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
0,n,d
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
0,l,g
1,p,g
0,n,g
0,n,u
1,p,u
0,n,g
0,n,g
0,a,p
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
1,p,u
0,n,g
0,n,g
0,n,d
0,a,g
0,n,g
0,n,g
0,n,g
0,a,g
0,n,d
0,n,g
0,n,g
1,p,u
1,p,u
0,n,g
0,n,u
0,n,g
0,n,g
1,p,g
0,a,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
1,p,u
0,n,g
0,n,g
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
1,p,u
0,n,g
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,g
1,p,g
0,n,d
1,p,g
0,a,g
0,n,g
0,a,g
1,f,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
1,p,u
0,n,d
0,l,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,d
1,p,u
0,n,d
0,n,g
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,a,d
0,n,d
1,p,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,d
0,n,g
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,d
0,l,d
0,n,g
1,p,g
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,d
0,n,d
0,n,d
0,n,g
0,n,g
0,l,g
1,p,u
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
1,p,u
0,a,g
0,n,d
0,n,g
0,n,g
0,n,g
0,l,d
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,d
0,n,g
0,n,g
1,p,u
0,n,g
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
1,p,g
0,n,g
0,n,d
0,n,d
1,p,g
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
1,p,u
0,n,d
0,n,g
1,p,g
0,n,d
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
0,l,m
0,n,g
0,n,d
0,n,d
0,n,g
1,p,u
0,n,d
1,p,u
1,p,g
0,n,d
0,n,g
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,d
1,p,u
0,l,g
1,p,g
0,n,g
0,n,g
1,p,g
0,n,g
0,n,g
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,a,d
0,a,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,g
0,n,d
0,n,g
0,l,m
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,a,p
0,n,d
0,n,g
0,n,d
0,n,d
0,n,g
0,a,m
0,n,g
0,n,g
0,n,d
0,n,g
0,n,d
0,n,d
0,n,g
0,a,m
0,n,g
1,p,g
0,n,g
0,n,d
0,n,g
0,n,d
0,n,d
1,p,u
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
1,p,u
0,l,m
0,n,d
0,n,d
0,n,g
0,n,d
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
0,n,g
0,n,g
0,n,d
0,n,d
1,p,u
0,n,d
0,n,g
0,a,m
0,n,g
0,n,g
0,n,d
0,n,d
0,n,g
1,p,g
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
1,p,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
1,f,g
1,p,g
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
1,p,u
0,n,d
1,p,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
1,f,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
1,c,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
1,f,p
0,n,d
0,n,d
1,p,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
1,c,d
0,n,d
0,n,d
1,p,u
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,g
0,n,d
0,n,g
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
0,n,d
